count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
80,0,[21. 85. 29. 84. 21. 18.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 1.  2. -2. 15.  3. -2.  3. -2.  2. -9. 11.  2. -4.  1.  0. -3. -1.  2.]
81,0,[20. 84. 29. 84. 20. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  1.   3.  -2.  16.   3.  -2.   3.  -2.   3. -11.  11.   1.  -2.   1.
  -1.  -2.  -1.   1.]"
82,0,[21. 84. 30. 86. 19. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  1.   3.  -3.  17.   3.  -2.   1.  -2.   2. -10.  11.   1.  -3.   2.
   0.  -2.  -3.   1.]"
83,0,[21. 84. 27. 88. 18. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  1.   3.  -1.  16.   3.  -2.   2.  -1.   1. -10.  10.   1.  -3.   1.
   1.  -2.  -3.   1.]"
84,0,[23. 84. 24. 88. 17. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   3.  -3.  17.   3.  -3.   2.  -2.   2. -11.  10.   1.  -4.   1.
   1.  -2.  -1.   2.]"
85,0,[26. 87. 23. 88. 17. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   3.  -2.  18.   4.  -3.   2.  -2.   2. -10.  10.   1.  -3.   0.
   1.  -2.  -1.   1.]"
86,0,[27. 91. 21. 86. 13. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  1.   3.  -3.  17.   4.  -4.   2.  -2.   2. -11.   8.   1.  -3.   1.
   1.  -2.  -1.   1.]"
87,0,[27. 94. 22. 84. 17. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   3.  -2.  18.   5.  -4.   1.  -2.   2. -11.   9.   1.  -3.   1.
   2.  -3.   0.   1.]"
88,0,[ 30. 100.  23.  84.  18.  14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   3.  -2.  18.   5.  -3.   2.  -1.   2. -11.   9.   1.  -3.   0.
   1.  -2.  -1.   1.]"
89,0,[ 29. 103.  22.  83.  17.  13.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   3.  -2.  17.   5.  -4.   1.  -1.   2. -11.   9.   1.  -3.   1.
   2.  -2.   0.   1.]"
