Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:2:5.860	-0.5288	-0.1406	0.8345	0.0	-0.2441	0.0	-9.344	32.141	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.27704	-0.00259
 2000-0-0 0:2:5.880	-0.5303	-0.1421	0.8374	0.0	-0.061	0.0	-9.344	32.135	-3.093	28.6	None	None	None	None	None	None	None	0.95801	-0.07349	0.27701	-0.00259
 2000-0-0 0:2:5.900	-0.5293	-0.1431	0.8374	0.0	0.0	0.0	-9.344	32.135	-3.093	28.57	None	None	None	None	None	None	None	0.95801	-0.07349	0.27701	-0.00259
 2000-0-0 0:2:5.920	-0.5283	-0.1421	0.8354	0.0	0.1831	0.0	-9.344	32.141	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.27704	-0.00259
 2000-0-0 0:2:5.940	-0.5293	-0.1426	0.8345	0.0	0.1831	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:5.960	-0.5312	-0.1426	0.8345	0.0	0.061	0.0	-9.344	32.151	-3.093	28.58	None	None	None	None	None	None	None	0.95795	-0.07349	0.27713	-0.00262
 2000-0-0 0:2:5.980	-0.5317	-0.1411	0.8335	0.0	0.0	0.0	-9.344	32.151	-3.093	28.58	None	None	None	None	None	None	None	0.95795	-0.07349	0.27713	-0.00262
 2000-0-0 0:2:6.0	-0.5308	-0.1401	0.8325	0.0	0.0	0.0	-9.344	32.151	-3.093	28.58	None	None	None	None	None	None	None	0.95795	-0.07349	0.27713	-0.00262
 2000-0-0 0:2:6.20	-0.5303	-0.1416	0.8354	0.0	-0.061	0.0	-9.344	32.151	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.27713	-0.00262
 2000-0-0 0:2:6.40	-0.5293	-0.1416	0.8364	0.0	-0.061	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:6.60	-0.5288	-0.1421	0.8369	0.0	-0.061	0.0	-9.338	32.146	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07349	0.27707	-0.00262
 2000-0-0 0:2:6.80	-0.5283	-0.1431	0.8359	0.0	0.0	0.0	-9.338	32.141	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.27707	-0.00262
 2000-0-0 0:2:6.100	-0.5303	-0.1436	0.8354	0.0	0.0	0.0	-9.338	32.141	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.27707	-0.00262
 2000-0-0 0:2:6.120	-0.5317	-0.1431	0.835	0.0	0.1221	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:6.140	-0.5308	-0.1421	0.8325	0.0	0.1221	0.0	-9.344	32.151	-3.093	28.59	None	None	None	None	None	None	None	0.95795	-0.07349	0.27713	-0.00262
 2000-0-0 0:2:6.160	-0.5312	-0.1411	0.833	0.0	0.061	0.0	-9.344	32.151	-3.093	28.58	None	None	None	None	None	None	None	0.95795	-0.07349	0.27716	-0.00262
 2000-0-0 0:2:6.180	-0.5293	-0.1406	0.834	0.0	0.0	0.0	-9.344	32.151	-3.093	28.55	None	None	None	None	None	None	None	0.95795	-0.07349	0.27716	-0.00262
 2000-0-0 0:2:6.200	-0.5312	-0.1411	0.8359	0.0	-0.1221	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:6.220	-0.5298	-0.1421	0.835	0.0	-0.1221	0.0	-9.338	32.141	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07346	0.27704	-0.00262
 2000-0-0 0:2:6.240	-0.5293	-0.1416	0.8345	0.0	-0.061	0.0	-9.338	32.141	-3.093	28.57	None	None	None	None	None	None	None	0.95801	-0.07346	0.27704	-0.00262
 2000-0-0 0:2:6.260	-0.5308	-0.1431	0.8359	0.0	0.0	0.0	-9.338	32.141	-3.093	28.53	None	None	None	None	None	None	None	0.95798	-0.07346	0.27704	-0.00262
 2000-0-0 0:2:6.280	-0.5303	-0.1426	0.8359	0.0	0.1221	0.0	-9.338	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:6.300	-0.5288	-0.1426	0.8345	0.0	0.061	0.0	-9.338	32.151	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07346	0.27713	-0.00262
 2000-0-0 0:2:6.320	-0.5293	-0.1421	0.835	0.0	0.0	0.0	-9.338	32.151	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07346	0.27713	-0.00262
 2000-0-0 0:2:6.340	-0.5312	-0.1421	0.8359	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:6.360	-0.5298	-0.1401	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07346	0.2771	-0.00262
 2000-0-0 0:2:6.380	-0.5308	-0.1396	0.8335	0.0	0.0	0.0	-9.338	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07343	0.2771	-0.00262
